sep=,
Epoch,Training Error,Validation Error
1,0.338313,0.251126
2,0.258140,0.208453
3,0.210880,0.188604
4,0.187567,0.178402
5,0.176067,0.169716
6,0.168213,0.163234
7,0.161787,0.157188
8,0.156383,0.152519
9,0.151768,0.148143
10,0.147743,0.144512
11,0.144169,0.141104
12,0.140952,0.138094
13,0.138027,0.135287
14,0.135335,0.132713
15,0.132838,0.130308
16,0.130506,0.128064
17,0.128321,0.125955
18,0.126265,0.123969
19,0.124328,0.122092
20,0.122494,0.120314
21,0.120754,0.118626
22,0.119103,0.117020
23,0.117528,0.115486
24,0.116023,0.114019
25,0.114582,0.112613
26,0.113197,0.111264
27,0.111865,0.109966
28,0.110584,0.108716
29,0.109351,0.107512
30,0.108163,0.106349
31,0.107015,0.105227
32,0.105905,0.104142
33,0.104834,0.103093
34,0.103799,0.102079
35,0.102799,0.101100
36,0.101833,0.100157
37,0.100900,0.099249
38,0.100002,0.098376
39,0.099140,0.097536
40,0.098314,0.096730
41,0.097524,0.095956
42,0.096767,0.095212
43,0.096043,0.094498
44,0.095347,0.093812
45,0.094679,0.093152
46,0.094036,0.092517
47,0.093419,0.091907
48,0.092825,0.091321
49,0.092254,0.090757
50,0.091704,0.090214
51,0.091175,0.089691
52,0.090664,0.089185
53,0.090171,0.088697
54,0.089693,0.088224
55,0.089231,0.087766
56,0.088782,0.087321
57,0.088346,0.086889
58,0.087923,0.086468
59,0.087511,0.086059
60,0.087111,0.085660
61,0.086721,0.085271
62,0.086340,0.084891
63,0.085967,0.084520
64,0.085604,0.084157
65,0.085248,0.083802
66,0.084901,0.083454
67,0.084561,0.083114
68,0.084230,0.082780
69,0.083906,0.082453
70,0.083588,0.082132
71,0.083277,0.081817
72,0.082972,0.081508
73,0.082672,0.081204
74,0.082378,0.080906
75,0.082088,0.080612
76,0.081804,0.080324
77,0.081523,0.080039
78,0.081248,0.079759
79,0.080976,0.079483
80,0.080708,0.079210
81,0.080444,0.078941
82,0.080184,0.078676
83,0.079928,0.078414
84,0.079675,0.078155
85,0.079426,0.077899
86,0.079180,0.077647
87,0.078937,0.077397
88,0.078698,0.077150
89,0.078461,0.076906
90,0.078227,0.076665
91,0.077995,0.076426
92,0.077766,0.076189
93,0.077540,0.075955
94,0.077315,0.075723
95,0.077093,0.075494
96,0.076873,0.075266
97,0.076655,0.075041
98,0.076439,0.074819
99,0.076225,0.074598
100,0.076013,0.074379
101,0.075802,0.074163
102,0.075594,0.073948
103,0.075387,0.073736
104,0.075181,0.073525
105,0.074978,0.073316
106,0.074775,0.073109
107,0.074575,0.072904
108,0.074375,0.072700
109,0.074178,0.072498
110,0.073982,0.072298
111,0.073787,0.072099
112,0.073593,0.071902
113,0.073401,0.071706
114,0.073210,0.071511
115,0.073021,0.071318
116,0.072833,0.071126
117,0.072646,0.070935
118,0.072460,0.070746
119,0.072275,0.070558
120,0.072091,0.070371
121,0.071909,0.070185
122,0.071728,0.070000
123,0.071547,0.069817
124,0.071368,0.069634
125,0.071190,0.069453
126,0.071013,0.069273
127,0.070837,0.069095
128,0.070662,0.068917
129,0.070488,0.068741
130,0.070315,0.068566
131,0.070143,0.068392
132,0.069972,0.068219
133,0.069802,0.068047
134,0.069633,0.067877
135,0.069465,0.067708
136,0.069298,0.067540
137,0.069132,0.067373
138,0.068967,0.067207
139,0.068802,0.067042
140,0.068639,0.066878
141,0.068477,0.066716
142,0.068315,0.066554
143,0.068154,0.066394
144,0.067995,0.066234
145,0.067836,0.066076
146,0.067678,0.065919
147,0.067521,0.065763
148,0.067365,0.065608
149,0.067210,0.065454
150,0.067056,0.065302
151,0.066903,0.065151
152,0.066751,0.065001
153,0.066600,0.064852
154,0.066450,0.064704
155,0.066301,0.064558
156,0.066153,0.064413
157,0.066006,0.064268
158,0.065860,0.064126
159,0.065715,0.063984
160,0.065571,0.063843
161,0.065427,0.063704
162,0.065285,0.063565
163,0.065144,0.063428
164,0.065004,0.063292
165,0.064864,0.063157
166,0.064726,0.063023
167,0.064588,0.062890
168,0.064451,0.062758
169,0.064315,0.062627
170,0.064180,0.062497
171,0.064046,0.062368
172,0.063913,0.062240
173,0.063780,0.062113
174,0.063648,0.061987
175,0.063517,0.061861
176,0.063387,0.061737
177,0.063258,0.061614
178,0.063130,0.061491
179,0.063002,0.061369
180,0.062876,0.061249
181,0.062750,0.061129
182,0.062625,0.061009
183,0.062500,0.060891
184,0.062377,0.060774
185,0.062254,0.060657
186,0.062132,0.060541
187,0.062010,0.060426
188,0.061890,0.060312
189,0.061770,0.060198
190,0.061651,0.060086
191,0.061533,0.059974
192,0.061415,0.059863
193,0.061298,0.059753
194,0.061182,0.059643
195,0.061066,0.059534
196,0.060952,0.059426
197,0.060837,0.059319
198,0.060724,0.059213
199,0.060611,0.059107
200,0.060499,0.059002
201,0.060387,0.058898
202,0.060277,0.058795
203,0.060166,0.058692
204,0.060057,0.058590
205,0.059948,0.058488
206,0.059840,0.058388
207,0.059732,0.058287
208,0.059625,0.058188
209,0.059519,0.058089
