Epoch	Training Error	Validation Error
1	0,370478	0,349232
2	0,318243	0,311381
3	0,281078	0,288230
4	0,260053	0,269536
5	0,244637	0,248570
6	0,228115	0,225290
7	0,210207	0,207800
8	0,196915	0,200312
9	0,190097	0,194341
10	0,184292	0,188797
11	0,179009	0,183730
12	0,174108	0,179006
13	0,169556	0,174632
14	0,165289	0,170556
15	0,161284	0,166776
16	0,157543	0,163279
17	0,154078	0,160034
18	0,150865	0,157008
19	0,147876	0,154173
20	0,145082	0,151513
21	0,142465	0,149012
22	0,140007	0,146655
23	0,137693	0,144428
24	0,135511	0,142320
25	0,133452	0,140322
26	0,131504	0,138426
27	0,129661	0,136623
28	0,127913	0,134907
29	0,126253	0,133271
30	0,124675	0,131711
31	0,123173	0,130221
32	0,121740	0,128798
33	0,120374	0,127437
34	0,119070	0,126134
35	0,117824	0,124888
36	0,116633	0,123693
37	0,115495	0,122550
38	0,114406	0,121454
39	0,113365	0,120403
40	0,112368	0,119395
41	0,111412	0,118427
42	0,110497	0,117499
43	0,109619	0,116606
44	0,108777	0,115749
45	0,107967	0,114924
46	0,107189	0,114130
47	0,106441	0,113365
48	0,105720	0,112628
49	0,105026	0,111918
50	0,104356	0,111232
51	0,103711	0,110570
52	0,103088	0,109931
53	0,102487	0,109313
54	0,101906	0,108716
55	0,101344	0,108138
56	0,100801	0,107578
57	0,100276	0,107037
58	0,099767	0,106512
59	0,099274	0,106004
60	0,098797	0,105511
61	0,098334	0,105032
62	0,097885	0,104568
63	0,097449	0,104117
64	0,097026	0,103679
65	0,096615	0,103254
66	0,096216	0,102841
67	0,095828	0,102439
68	0,095451	0,102048
69	0,095084	0,101667
70	0,094726	0,101297
71	0,094379	0,100936
72	0,094040	0,100584
73	0,093710	0,100242
74	0,093388	0,099908
75	0,093075	0,099583
76	0,092769	0,099265
77	0,092470	0,098955
78	0,092179	0,098653
79	0,091895	0,098358
80	0,091617	0,098069
81	0,091346	0,097788
82	0,091081	0,097512
83	0,090822	0,097243
84	0,090568	0,096980
85	0,090320	0,096723
86	0,090078	0,096471
87	0,089841	0,096224
88	0,089608	0,095983
89	0,089381	0,095746
90	0,089158	0,095515
91	0,088939	0,095288
92	0,088725	0,095066
93	0,088515	0,094848
94	0,088310	0,094634
95	0,088108	0,094424
96	0,087910	0,094219
97	0,087716	0,094017
98	0,087525	0,093819
99	0,087337	0,093625
100	0,087154	0,093434
101	0,086973	0,093246
102	0,086795	0,093062
103	0,086621	0,092881
104	0,086450	0,092703
105	0,086281	0,092529
106	0,086115	0,092357
107	0,085952	0,092188
108	0,085792	0,092021
109	0,085634	0,091858
110	0,085479	0,091697
111	0,085326	0,091538
112	0,085175	0,091383
113	0,085027	0,091229
114	0,084881	0,091078
115	0,084737	0,090929
116	0,084595	0,090782
117	0,084456	0,090638
118	0,084318	0,090496
119	0,084183	0,090355
120	0,084049	0,090217
121	0,083917	0,090081
122	0,083787	0,089947
123	0,083658	0,089814
124	0,083532	0,089683
125	0,083407	0,089555
126	0,083284	0,089427
127	0,083162	0,089302
128	0,083042	0,089178
129	0,082924	0,089056
130	0,082807	0,088935
131	0,082691	0,088816
132	0,082577	0,088699
133	0,082464	0,088583
134	0,082353	0,088468
135	0,082243	0,088355
136	0,082134	0,088243
137	0,082026	0,088132
138	0,081920	0,088023
139	0,081815	0,087915
140	0,081711	0,087809
141	0,081609	0,087703
142	0,081507	0,087599
143	0,081407	0,087496
144	0,081308	0,087394
145	0,081209	0,087293
146	0,081112	0,087194
147	0,081016	0,087095
148	0,080921	0,086998
149	0,080827	0,086902
150	0,080734	0,086806
151	0,080642	0,086712
152	0,080551	0,086618
153	0,080461	0,086526
154	0,080371	0,086435
155	0,080283	0,086344
156	0,080195	0,086254
157	0,080108	0,086166
158	0,080023	0,086078
159	0,079937	0,085991
160	0,079853	0,085905
161	0,079770	0,085819
162	0,079687	0,085735
163	0,079605	0,085651
164	0,079524	0,085568
165	0,079444	0,085486
166	0,079364	0,085405
167	0,079285	0,085324
168	0,079207	0,085244
169	0,079130	0,085165
170	0,079053	0,085087
171	0,078977	0,085009
172	0,078901	0,084932
173	0,078826	0,084856
174	0,078752	0,084780
175	0,078678	0,084706
176	0,078605	0,084631
177	0,078533	0,084558
178	0,078461	0,084485
179	0,078390	0,084412
180	0,078319	0,084341
181	0,078249	0,084270
182	0,078180	0,084199
183	0,078111	0,084129
184	0,078042	0,084060
185	0,077974	0,083991
186	0,077907	0,083923
187	0,077840	0,083855
188	0,077773	0,083788
189	0,077708	0,083721
190	0,077642	0,083655
191	0,077577	0,083590
192	0,077513	0,083525
193	0,077449	0,083460
194	0,077385	0,083396
195	0,077322	0,083332
196	0,077260	0,083269
197	0,077197	0,083207
198	0,077136	0,083145
199	0,077074	0,083083
200	0,077013	0,083022
