sep=,
Epoch,Training Error,Validation Error
1,0.368431,0.316732
2,0.335632,0.289200
3,0.309225,0.267748
4,0.287205,0.249221
5,0.266429,0.232549
6,0.246704,0.218160
7,0.229087,0.206706
8,0.214709,0.196925
9,0.203078,0.188738
10,0.192716,0.180121
11,0.183268,0.172716
12,0.174604,0.164961
13,0.166751,0.158640
14,0.159579,0.151816
15,0.152990,0.146324
16,0.146853,0.140339
17,0.141130,0.135533
18,0.135827,0.130424
19,0.130958,0.126233
20,0.126493,0.121975
21,0.122404,0.118338
22,0.118652,0.114818
23,0.115209,0.111708
24,0.112048,0.108784
25,0.109147,0.106142
26,0.106486,0.103690
27,0.104045,0.101452
28,0.101808,0.099411
29,0.099771,0.097566
30,0.097919,0.095885
31,0.096236,0.094356
32,0.094703,0.092957
33,0.093304,0.091673
34,0.092021,0.090489
35,0.090840,0.089395
36,0.089749,0.088378
37,0.088736,0.087431
38,0.087793,0.086544
39,0.086910,0.085711
40,0.086081,0.084925
41,0.085301,0.084183
42,0.084563,0.083478
43,0.083863,0.082807
44,0.083198,0.082166
45,0.082563,0.081551
46,0.081954,0.080961
47,0.081370,0.080392
48,0.080809,0.079842
49,0.080267,0.079310
50,0.079743,0.078793
51,0.079234,0.078291
52,0.078739,0.077801
53,0.078257,0.077323
54,0.077786,0.076856
55,0.077325,0.076398
56,0.076874,0.075950
57,0.076431,0.075509
58,0.075995,0.075076
59,0.075566,0.074651
60,0.075143,0.074233
61,0.074726,0.073821
62,0.074315,0.073417
63,0.073909,0.073020
64,0.073508,0.072630
65,0.073114,0.072247
66,0.072726,0.071871
67,0.072345,0.071501
68,0.071972,0.071138
69,0.071605,0.070781
70,0.071244,0.070431
71,0.070890,0.070086
72,0.070542,0.069749
73,0.070199,0.069416
74,0.069862,0.069090
75,0.069531,0.068769
76,0.069205,0.068454
77,0.068885,0.068144
78,0.068570,0.067842
79,0.068260,0.067542
80,0.067955,0.067251
81,0.067655,0.066961
82,0.067360,0.066681
83,0.067069,0.066400
84,0.066782,0.066132
85,0.066500,0.065857
86,0.066222,0.065605
87,0.065948,0.065330
88,0.065679,0.065101
89,0.065414,0.064814
90,0.065155,0.064634
91,0.064902,0.064307
92,0.064662,0.064267
93,0.064453,0.063874
94,0.064320,0.064446
95,0.064443,0.064435
96,0.065251,0.069087
97,0.068692,0.073448
98,0.075673,0.097802
99,0.097515,0.099039
100,0.102965,0.098935
101,0.098600,0.078967
102,0.080785,0.073113
103,0.072787,0.066971
104,0.068226,0.066253
105,0.066135,0.064101
106,0.064899,0.064335
107,0.064229,0.063111
108,0.063663,0.063436
109,0.063303,0.062520
110,0.062947,0.062887
111,0.062703,0.062070
112,0.062445,0.062563
113,0.062300,0.061749
114,0.062137,0.062555
115,0.062173,0.061702
116,0.062195,0.063227
117,0.062669,0.062283
118,0.062992,0.065213
119,0.064445,0.064054
120,0.065121,0.067314
121,0.066389,0.063077
122,0.064001,0.064343
123,0.063600,0.062631
124,0.063573,0.066289
125,0.065408,0.064186
126,0.065376,0.069249
127,0.068236,0.065656
128,0.067031,0.070481
129,0.069432,0.065477
130,0.066835,0.068515
131,0.067523,0.063581
132,0.064751,0.065374
133,0.064492,0.061666
134,0.062596,0.063160
135,0.062363,0.060528
136,0.061284,0.062005
137,0.061229,0.059873
138,0.060526,0.061462
139,0.060665,0.059581
140,0.060208,0.061363
141,0.060512,0.059481
142,0.060127,0.061551
143,0.060635,0.059577
144,0.060281,0.062048
145,0.061056,0.059875
146,0.060670,0.062814
147,0.061745,0.060238
148,0.061126,0.061603
149,0.060569,0.059114
150,0.059878,0.061829
151,0.060776,0.059423
152,0.060255,0.062503
153,0.061382,0.059708
154,0.060608,0.062969
155,0.061801,0.059764
156,0.060699,0.062897
157,0.061717,0.059444
158,0.060358,0.062193
159,0.061034,0.058792
160,0.059634,0.061108
161,0.059995,0.058024
162,0.058769,0.060016
163,0.058949,0.057315
164,0.057962,0.059110
165,0.058078,0.056709
166,0.057268,0.058387
167,0.057379,0.056229
168,0.056720,0.057855
169,0.056854,0.055864
170,0.056309,0.057499
171,0.056490,0.055600
172,0.056023,0.056389
173,0.055456,0.054860
174,0.055148,0.056339
175,0.055369,0.054855
176,0.055188,0.056662
177,0.055606,0.055028
178,0.055444,0.057303
179,0.056145,0.055430
180,0.055964,0.058309
181,0.057040,0.056052
182,0.056724,0.059577
183,0.058203,0.056657
184,0.057446,0.060494
185,0.059056,0.056895
186,0.057741,0.060505
187,0.059062,0.056525
188,0.057341,0.059514
189,0.058121,0.055675
190,0.056389,0.058026
191,0.056723,0.054745
192,0.055332,0.056678
193,0.055460,0.053977
194,0.054446,0.055674
195,0.054515,0.053366
196,0.053730,0.053970
197,0.052967,0.052420
198,0.052567,0.053583
199,0.052590,0.052213
200,0.052335,0.053459
201,0.052429,0.052094
202,0.052224,0.053508
203,0.052419,0.052073
204,0.052240,0.053743
205,0.052579,0.052168
206,0.052400,0.054187
207,0.052934,0.052399
208,0.052717,0.054847
209,0.053499,0.052776
210,0.053195,0.055687
211,0.054244,0.053173
212,0.053681,0.056405
213,0.054891,0.053412
214,0.053975,0.056681
215,0.055139,0.053340
216,0.053908,0.056355
217,0.054828,0.052947
218,0.053471,0.055562
219,0.054085,0.052371
220,0.052819,0.053129
221,0.051847,0.050958
222,0.051156,0.052562
223,0.051330,0.050721
224,0.050880,0.052332
225,0.051091,0.050553
226,0.050694,0.052217
227,0.050952,0.050442
228,0.050580,0.052193
229,0.050895,0.050379
230,0.050525,0.052242
231,0.050906,0.050355
232,0.050518,0.052343
233,0.050968,0.050358
234,0.050543,0.052470
235,0.051056,0.050370
236,0.050578,0.052588
237,0.051140,0.050359
238,0.050582,0.052634
239,0.051160,0.050287
240,0.050513,0.052548
241,0.051063,0.050141
242,0.050355,0.052329
243,0.050845,0.049929
244,0.050117,0.050824
245,0.049470,0.048995
246,0.049001,0.050575
247,0.049236,0.048901
248,0.048905,0.050555
249,0.049188,0.048843
250,0.048854,0.050589
251,0.049190,0.048811
252,0.048833,0.050654
253,0.049220,0.048792
254,0.048828,0.050723
255,0.049257,0.048770
256,0.048819,0.050767
257,0.049275,0.048729
258,0.048785,0.050757
259,0.049245,0.048644
260,0.048697,0.050655
261,0.049134,0.048504
262,0.048543,0.050453
263,0.048933,0.048317
264,0.048331,0.050174
265,0.048664,0.048092
266,0.048073,0.049841
267,0.048347,0.047840
268,0.047782,0.048564
269,0.047198,0.047084
270,0.046854,0.048304
271,0.046955,0.046959
272,0.046716,0.048205
273,0.046840,0.046860
274,0.046611,0.048150
275,0.046763,0.046780
276,0.046533,0.048127
277,0.046714,0.046717
278,0.046474,0.048125
279,0.046685,0.046664
280,0.046427,0.048131
281,0.046666,0.046613
282,0.046381,0.048130
283,0.046642,0.046556
284,0.046327,0.048107
285,0.046599,0.046483
286,0.046254,0.048047
287,0.046526,0.046390
288,0.046153,0.047941
289,0.046412,0.046269
290,0.046019,0.047785
291,0.046255,0.046121
292,0.045850,0.046809
293,0.045379,0.045529
294,0.045118,0.046642
295,0.045220,0.045442
296,0.045027,0.046586
297,0.045146,0.045364
298,0.044948,0.046543
299,0.045084,0.045291
300,0.044873,0.046502
301,0.045024,0.045218
302,0.044798,0.046453
303,0.044958,0.045140
304,0.044716,0.046389
305,0.044880,0.045052
306,0.044620,0.046302
307,0.044783,0.044951
308,0.044508,0.046187
309,0.044662,0.044835
310,0.044376,0.046042
311,0.044515,0.044703
312,0.044224,0.045868
313,0.044343,0.044557
314,0.044054,0.045670
315,0.044151,0.044400
316,0.043870,0.044922
317,0.043489,0.043969
318,0.043323,0.044779
319,0.043350,0.043879
320,0.043226,0.044703
321,0.043260,0.043792
322,0.043133,0.044631
323,0.043175,0.043707
324,0.043042,0.044559
325,0.043089,0.043622
326,0.042949,0.044482
327,0.042999,0.043533
328,0.042852,0.044395
329,0.042903,0.043440
330,0.042749,0.044298
331,0.042797,0.043342
332,0.042638,0.044187
333,0.042681,0.043237
334,0.042518,0.044063
335,0.042555,0.043126
336,0.042390,0.043926
337,0.042418,0.043010
338,0.042255,0.043779
339,0.042273,0.042889
340,0.042114,0.043284
341,0.041841,0.042605
342,0.041742,0.043177
343,0.041732,0.042522
344,0.041655,0.043128
345,0.041667,0.042467
346,0.041606,0.043113
347,0.041629,0.042415
348,0.041558,0.043097
349,0.041592,0.042361
350,0.041507,0.043071
351,0.041548,0.042303
352,0.041449,0.043033
353,0.041494,0.042238
354,0.041381,0.042977
355,0.041427,0.042165
356,0.041301,0.042902
357,0.041344,0.042082
358,0.041207,0.042806
359,0.041244,0.041989
360,0.041101,0.042689
361,0.041127,0.041886
362,0.040981,0.042556
363,0.040996,0.041777
364,0.040852,0.042409
365,0.040854,0.041662
366,0.040715,0.041976
367,0.040482,0.041418
368,0.040394,0.041865
369,0.040373,0.041335
370,0.040302,0.041793
371,0.040294,0.041269
372,0.040234,0.041759
373,0.040243,0.041223
374,0.040194,0.041748
375,0.040212,0.041177
376,0.040153,0.041731
377,0.040178,0.041129
378,0.040106,0.041703
379,0.040135,0.041074
380,0.040051,0.041659
381,0.040080,0.041012
382,0.039984,0.041596
383,0.040010,0.040941
384,0.039905,0.041514
385,0.039925,0.040860
386,0.039813,0.041414
387,0.039824,0.040770
388,0.039709,0.041297
389,0.039711,0.040674
390,0.039596,0.041168
391,0.039588,0.040575
392,0.039478,0.041053
393,0.039478,0.040495
394,0.039387,0.040956
395,0.039381,0.040411
396,0.039289,0.040868
397,0.039293,0.040343
398,0.039215,0.040595
399,0.039057,0.040175
400,0.038997,0.040529
401,0.038987,0.040116
402,0.038936,0.040491
403,0.038938,0.040069
404,0.038893,0.040464
405,0.038898,0.040021
406,0.038847,0.040430
407,0.038853,0.039969
408,0.038794,0.040384
409,0.038799,0.039912
410,0.038733,0.040324
411,0.038734,0.039847
412,0.038661,0.040248
413,0.038658,0.039775
414,0.038580,0.040177
415,0.038585,0.039717
416,0.038518,0.040114
417,0.038518,0.039651
418,0.038445,0.040035
419,0.038439,0.039579
420,0.038363,0.039961
421,0.038365,0.039520
422,0.038299,0.039893
423,0.038295,0.039454
424,0.038225,0.039829
425,0.038229,0.039399
426,0.038167,0.039605
427,0.038035,0.039257
428,0.037985,0.039551
429,0.037977,0.039206
430,0.037933,0.039516
431,0.037934,0.039165
432,0.037895,0.039487
433,0.037896,0.039120
434,0.037851,0.039449
435,0.037851,0.039070
436,0.037799,0.039398
437,0.037796,0.039015
438,0.037739,0.039349
439,0.037743,0.038968
440,0.037691,0.039304
441,0.037692,0.038915
442,0.037634,0.039243
443,0.037630,0.038855
444,0.037567,0.039184
445,0.037569,0.038805
446,0.037514,0.039128
447,0.037511,0.038747
448,0.037450,0.039073
449,0.037454,0.038699
450,0.037400,0.039021
451,0.037400,0.038644
452,0.037340,0.038969
453,0.037346,0.038599
454,0.037292,0.038772
455,0.037174,0.038471
456,0.037130,0.038724
457,0.037124,0.038427
458,0.037085,0.038692
459,0.037086,0.038390
460,0.037051,0.038665
461,0.037051,0.038350
462,0.037010,0.038627
463,0.037008,0.038304
464,0.036962,0.038590
465,0.036967,0.038266
466,0.036925,0.038556
467,0.036927,0.038222
468,0.036878,0.038507
469,0.036876,0.038171
470,0.036822,0.038457
471,0.036824,0.038127
472,0.036776,0.038409
473,0.036774,0.038076
474,0.036720,0.038360
475,0.036723,0.038034
476,0.036675,0.038312
477,0.036673,0.037984
478,0.036620,0.038263
479,0.036623,0.037941
480,0.036575,0.038084
481,0.036467,0.037825
482,0.036428,0.038038
483,0.036421,0.037784
484,0.036386,0.038005
485,0.036383,0.037748
486,0.036351,0.037984
487,0.036355,0.037721
488,0.036327,0.037967
489,0.036330,0.037688
490,0.036295,0.037938
491,0.036296,0.037650
492,0.036255,0.037895
493,0.036251,0.037604
494,0.036204,0.037851
495,0.036205,0.037565
496,0.036163,0.037807
497,0.036160,0.037519
498,0.036112,0.037761
499,0.036113,0.037479
500,0.036070,0.037715
