Epoch	Training Error	Validation Error
1	0,778972	0,461953
2	0,474796	0,318911
3	0,314059	0,258448
4	0,244367	0,247425
5	0,233084	0,241760
6	0,228654	0,237532
7	0,224366	0,232513
8	0,219934	0,227573
9	0,215324	0,222496
10	0,210538	0,217012
11	0,205599	0,211986
12	0,200557	0,205970
13	0,195501	0,201781
14	0,190630	0,195532
15	0,186253	0,195010
16	0,183445	0,190423
17	0,182767	0,201386
18	0,187975	0,195677
19	0,189375	0,208283
20	0,193436	0,193250
21	0,187572	0,204997
22	0,190339	0,188941
23	0,183762	0,202168
24	0,187759	0,185161
25	0,180386	0,199446
26	0,185351	0,181650
27	0,177214	0,196778
28	0,183061	0,178343
29	0,174196	0,193864
30	0,180581	0,175101
31	0,171220	0,190329
32	0,177523	0,171846
33	0,168228	0,186148
34	0,173833	0,168540
35	0,165193	0,181255
36	0,169433	0,164897
37	0,161824	0,156387
38	0,146728	0,151622
39	0,148548	0,164009
40	0,153622	0,154238
41	0,151615	0,161964
42	0,151777	0,151023
43	0,148604	0,156469
44	0,146764	0,146064
45	0,143768	0,151366
46	0,142078	0,142713
47	0,140551	0,147626
48	0,138684	0,139949
49	0,137907	0,144431
50	0,135817	0,137459
51	0,135519	0,141508
52	0,133215	0,135067
53	0,133212	0,138681
54	0,130705	0,132694
55	0,130910	0,135891
56	0,128223	0,128926
57	0,127181	0,130434
58	0,123211	0,124540
59	0,122788	0,126135
60	0,119265	0,120986
61	0,119241	0,122611
62	0,116039	0,117995
63	0,116263	0,119624
64	0,113316	0,114440
65	0,112703	0,115123
66	0,109154	0,110666
67	0,108884	0,111597
68	0,105913	0,107646
69	0,105830	0,108707
70	0,103276	0,105122
71	0,103278	0,106277
72	0,101070	0,102357
73	0,100479	0,102941
74	0,098005	0,099493
75	0,097556	0,100264
76	0,095558	0,097166
77	0,095184	0,098069
78	0,093560	0,095262
79	0,093251	0,096260
80	0,091920	0,093710
81	0,091682	0,094772
82	0,090576	0,092445
83	0,090408	0,093552
84	0,089477	0,091416
85	0,089379	0,092565
86	0,088592	0,090595
87	0,088564	0,091788
88	0,087897	0,089962
89	0,087945	0,091204
90	0,087380	0,089187
91	0,087179	0,090130
92	0,086400	0,088286
93	0,086275	0,089277
94	0,085624	0,087580
95	0,085572	0,088619
96	0,085027	0,087048
97	0,085049	0,088139
98	0,084594	0,086410
99	0,084417	0,087256
100	0,083783	0,085674
101	0,083676	0,086566
102	0,083151	0,085110
103	0,083114	0,086052
104	0,082682	0,084706
105	0,082717	0,085707
106	0,082368	0,084222
107	0,082238	0,085019
108	0,081733	0,083660
109	0,081674	0,084509
110	0,081264	0,083261
111	0,081277	0,084169
112	0,080951	0,080798
113	0,078759	0,081465
114	0,078414	0,080380
115	0,078328	0,081068
116	0,078054	0,080074
117	0,078019	0,080801
118	0,077808	0,079882
119	0,077833	0,080669
120	0,077684	0,079677
121	0,077636	0,080368
122	0,077403	0,079452
123	0,077417	0,080205
124	0,077247	0,079208
125	0,077180	0,079863
126	0,076923	0,078942
127	0,076918	0,079660
128	0,076726	0,078805
129	0,076791	0,079603
130	0,076665	0,078653
131	0,076650	0,079358
132	0,076428	0,078480
133	0,076485	0,079266
134	0,076333	0,078288
135	0,076302	0,078972
136	0,076051	0,078073
137	0,076091	0,078837
138	0,075915	0,077837
139	0,075861	0,078492
140	0,075584	0,077575
141	0,075601	0,078307
142	0,075402	0,077293
143	0,075322	0,077914
144	0,075025	0,076988
145	0,075017	0,077685
146	0,074801	0,076837
147	0,074872	0,077626
148	0,074736	0,076673
149	0,074716	0,077361
150	0,074477	0,076491
151	0,074538	0,077272
152	0,074383	0,076295
153	0,074348	0,076971
154	0,074090	0,076081
155	0,074138	0,076853
156	0,073968	0,075854
157	0,073918	0,076519
158	0,073643	0,075609
159	0,073677	0,076372
160	0,073492	0,073630
161	0,071664	0,074206
162	0,071435	0,073376
163	0,071403	0,074012
164	0,071245	0,073251
165	0,071280	0,073973
166	0,071195	0,073143
167	0,071180	0,073816
168	0,071035	0,073051
169	0,071097	0,073826
170	0,071029	0,072979
171	0,071037	0,073701
172	0,070898	0,072774
173	0,070838	0,073424
174	0,070625	0,072573
175	0,070642	0,073316
176	0,070508	0,072379
177	0,070456	0,073050
178	0,070246	0,072191
179	0,070273	0,072958
180	0,070144	0,072009
181	0,070100	0,072703
182	0,069891	0,071832
183	0,069928	0,072624
184	0,069803	0,071660
185	0,069764	0,072375
186	0,069556	0,071491
187	0,069601	0,072307
188	0,069479	0,071326
189	0,069444	0,072061
190	0,069236	0,071162
191	0,069285	0,072000
192	0,069165	0,071000
193	0,069130	0,071752
194	0,068920	0,070835
195	0,068971	0,071690
196	0,068849	0,070670
197	0,068813	0,071433
198	0,068597	0,070498
199	0,068647	0,071365
200	0,068520	0,070324
