sep=,
Epoch,Training Error,Validation Error
1,0.430962,0.399510
2,0.397827,0.371275
3,0.369434,0.349407
4,0.346954,0.330413
5,0.327567,0.313451
6,0.310664,0.298858
7,0.296511,0.286517
8,0.284846,0.275709
9,0.274910,0.265470
10,0.265717,0.256003
11,0.257207,0.248311
12,0.250198,0.242492
13,0.244566,0.237689
14,0.239739,0.233496
15,0.235482,0.229705
16,0.231652,0.226173
17,0.228127,0.222768
18,0.224764,0.219421
19,0.221473,0.216073
20,0.218186,0.212688
21,0.214862,0.209259
22,0.211484,0.205776
23,0.208040,0.202251
24,0.204533,0.198686
25,0.200967,0.195092
26,0.197345,0.191490
27,0.193680,0.187912
28,0.190008,0.184362
29,0.186405,0.180924
30,0.182906,0.177607
31,0.179522,0.174398
32,0.176247,0.171299
33,0.173077,0.168300
34,0.170013,0.165405
35,0.167064,0.162605
36,0.164222,0.159892
37,0.161479,0.157257
38,0.158824,0.154698
39,0.156254,0.152223
40,0.153775,0.149833
41,0.151384,0.147527
42,0.149070,0.145304
43,0.146835,0.143170
44,0.144681,0.141126
45,0.142611,0.139170
46,0.140625,0.137298
47,0.138721,0.135505
48,0.136898,0.133786
49,0.135151,0.132137
50,0.133477,0.130553
51,0.131870,0.129031
52,0.130327,0.127566
53,0.128842,0.126157
54,0.127412,0.124799
55,0.126034,0.123491
56,0.124705,0.122231
57,0.123424,0.121016
58,0.122188,0.119844
59,0.120995,0.118714
60,0.119843,0.117623
61,0.118731,0.116569
62,0.117656,0.115552
63,0.116616,0.114568
64,0.115610,0.113617
65,0.114637,0.112697
66,0.113694,0.111807
67,0.112782,0.110946
68,0.111898,0.110113
69,0.111042,0.109305
70,0.110212,0.108523
71,0.109407,0.107765
72,0.108627,0.107030
73,0.107869,0.106318
74,0.107134,0.105626
75,0.106419,0.104954
76,0.105726,0.104302
77,0.105051,0.103669
78,0.104395,0.103053
79,0.103757,0.102455
80,0.103137,0.101874
81,0.102533,0.101308
82,0.101944,0.100757
83,0.101371,0.100222
84,0.100813,0.099700
85,0.100269,0.099192
86,0.099739,0.098697
87,0.099222,0.098214
88,0.098718,0.097743
89,0.098226,0.097284
90,0.097745,0.096836
91,0.097277,0.096399
92,0.096819,0.095972
93,0.096372,0.095555
94,0.095936,0.095148
95,0.095509,0.094750
96,0.095093,0.094361
97,0.094685,0.093980
98,0.094287,0.093608
99,0.093897,0.093244
100,0.093516,0.092888
101,0.093143,0.092540
102,0.092778,0.092199
103,0.092421,0.091865
104,0.092071,0.091538
105,0.091729,0.091217
106,0.091393,0.090902
107,0.091064,0.090594
108,0.090743,0.090292
109,0.090428,0.089996
110,0.090120,0.089706
111,0.089819,0.089422
112,0.089527,0.089144
113,0.089242,0.088871
114,0.088965,0.088604
115,0.088695,0.088341
116,0.088432,0.088084
117,0.088176,0.087832
118,0.087927,0.087584
119,0.087683,0.087340
120,0.087445,0.087100
121,0.087212,0.086864
122,0.086984,0.086631
123,0.086761,0.086402
124,0.086543,0.086177
125,0.086328,0.085954
126,0.086117,0.085735
127,0.085910,0.085518
128,0.085706,0.085304
129,0.085506,0.085093
130,0.085308,0.084884
131,0.085113,0.084677
132,0.084921,0.084473
133,0.084731,0.084271
134,0.084544,0.084071
135,0.084359,0.083873
136,0.084175,0.083676
137,0.083994,0.083480
138,0.083814,0.083287
139,0.083636,0.083094
140,0.083459,0.082903
141,0.083283,0.082713
142,0.083108,0.082524
143,0.082935,0.082336
144,0.082763,0.082150
145,0.082592,0.081965
146,0.082421,0.081781
147,0.082251,0.081597
148,0.082082,0.081415
149,0.081913,0.081234
150,0.081745,0.081053
151,0.081577,0.080873
152,0.081409,0.080695
153,0.081241,0.080517
154,0.081074,0.080340
155,0.080907,0.080165
156,0.080741,0.079991
157,0.080574,0.079817
158,0.080409,0.079645
159,0.080244,0.079474
160,0.080080,0.079305
161,0.079918,0.079137
162,0.079756,0.078971
163,0.079596,0.078806
164,0.079437,0.078643
165,0.079279,0.078481
166,0.079123,0.078321
167,0.078967,0.078163
168,0.078812,0.078006
169,0.078658,0.077851
170,0.078506,0.077697
171,0.078354,0.077544
172,0.078203,0.077393
173,0.078053,0.077243
174,0.077904,0.077094
175,0.077755,0.076947
176,0.077608,0.076800
177,0.077461,0.076655
178,0.077315,0.076511
179,0.077170,0.076367
180,0.077026,0.076225
181,0.076882,0.076083
182,0.076740,0.075943
183,0.076599,0.075803
184,0.076458,0.075664
185,0.076319,0.075526
186,0.076180,0.075389
187,0.076043,0.075252
188,0.075906,0.075117
189,0.075770,0.074982
190,0.075635,0.074848
191,0.075501,0.074714
192,0.075368,0.074581
193,0.075235,0.074449
194,0.075103,0.074318
195,0.074972,0.074187
196,0.074841,0.074056
197,0.074711,0.073927
198,0.074582,0.073798
199,0.074453,0.073669
200,0.074325,0.073541
201,0.074198,0.073414
202,0.074071,0.073287
203,0.073945,0.073161
204,0.073820,0.073036
205,0.073695,0.072911
206,0.073571,0.072787
207,0.073447,0.072664
208,0.073324,0.072541
