Epoch	Training Error	Validation Error
1	0,782635	0,332853
2	0,319762	0,270871
3	0,251393	0,250733
4	0,240052	0,273142
5	0,248740	0,257685
6	0,253348	0,299547
7	0,270458	0,249394
8	0,247150	0,291989
9	0,262593	0,232030
10	0,229901	0,287886
11	0,258096	0,219529
12	0,216800	0,287910
13	0,257381	0,214771
14	0,210905	0,284415
15	0,255020	0,224925
16	0,219951	0,285670
17	0,258957	0,232594
18	0,227109	0,271974
19	0,248143	0,230837
20	0,225619	0,261941
21	0,239729	0,225536
22	0,220707	0,253591
23	0,232713	0,220190
24	0,215741	0,215911
25	0,198913	0,214662
26	0,210887	0,245681
27	0,226358	0,209907
28	0,206149	0,233706
29	0,216352	0,206716
30	0,203199	0,227530
31	0,211297	0,202445
32	0,199177	0,221854
33	0,206640	0,198214
34	0,195179	0,216553
35	0,202283	0,194042
36	0,191229	0,211226
37	0,197840	0,189900
38	0,187313	0,205492
39	0,192924	0,185753
40	0,183408	0,199419
41	0,187592	0,181631
42	0,179543	0,192670
43	0,181514	0,177471
44	0,175664	0,185348
45	0,174789	0,172496
46	0,170975	0,180154
47	0,169956	0,170129
48	0,168873	0,176312
49	0,166399	0,167890
50	0,166866	0,172566
51	0,162953	0,140163
52	0,139231	0,146822
53	0,138406	0,147007
54	0,146425	0,151354
55	0,142659	0,148830
56	0,148434	0,149021
57	0,140610	0,144866
58	0,144507	0,142845
59	0,134997	0,137919
60	0,137508	0,135097
61	0,127894	0,129736
62	0,129218	0,127013
63	0,120458	0,121495
64	0,120832	0,119316
65	0,113373	0,113853
66	0,113012	0,112277
67	0,106905	0,107836
68	0,106818	0,107436
69	0,102488	0,103587
70	0,102435	0,103825
71	0,099221	0,100400
72	0,099141	0,101008
73	0,096690	0,097944
74	0,096605	0,098762
75	0,094683	0,096005
76	0,094611	0,096960
77	0,093076	0,094466
78	0,093037	0,095517
79	0,091792	0,093245
80	0,091799	0,094370
81	0,090772	0,092002
82	0,090542	0,092883
83	0,089432	0,090743
84	0,089264	0,091694
85	0,088361	0,089743
86	0,088260	0,090750
87	0,087511	0,088953
88	0,087475	0,090013
89	0,086846	0,088342
90	0,086879	0,089458
91	0,086345	0,087692
92	0,086241	0,088634
93	0,085599	0,087000
94	0,085555	0,087992
95	0,085016	0,086464
96	0,085030	0,087507
97	0,084575	0,085895
98	0,084471	0,086789
99	0,083922	0,085292
100	0,083869	0,086227
101	0,083410	0,084824
102	0,083409	0,085803
103	0,083022	0,084478
104	0,083077	0,085510
105	0,082750	0,082725
106	0,081255	0,083521
107	0,080952	0,082370
108	0,080896	0,083179
109	0,080642	0,082091
110	0,080625	0,082933
111	0,080412	0,081891
112	0,080440	0,082786
113	0,080267	0,081681
114	0,080245	0,082509
115	0,080007	0,081454
116	0,080030	0,082331
117	0,079833	0,081214
118	0,079800	0,082015
119	0,079537	0,080955
120	0,079547	0,081800
121	0,079329	0,080681
122	0,079279	0,081445
123	0,078997	0,080388
124	0,078988	0,081191
125	0,078753	0,080184
126	0,078791	0,081039
127	0,078599	0,079967
128	0,078581	0,080747
129	0,078322	0,079732
130	0,078349	0,080559
131	0,078136	0,079483
132	0,078103	0,080231
133	0,077825	0,079217
134	0,077835	0,080007
135	0,077607	0,078938
136	0,077556	0,079648
137	0,077268	0,078645
138	0,077258	0,079393
139	0,077021	0,078442
140	0,077056	0,079240
141	0,076864	0,078229
142	0,076845	0,078955
143	0,076591	0,078001
144	0,076616	0,078774
145	0,076409	0,077763
146	0,076377	0,078462
147	0,076110	0,077511
148	0,076121	0,078254
149	0,075904	0,077251
150	0,075857	0,077919
151	0,075585	0,076979
152	0,075579	0,077687
153	0,075357	0,076797
154	0,075397	0,077557
155	0,075220	0,075689
156	0,074235	0,076280
157	0,074057	0,075495
158	0,074032	0,076113
159	0,073888	0,075363
160	0,073901	0,076028
161	0,073790	0,075233
162	0,073774	0,075865
163	0,073622	0,075103
164	0,073646	0,075787
165	0,073530	0,074975
166	0,073522	0,075621
167	0,073360	0,074846
168	0,073394	0,075545
169	0,073270	0,074717
170	0,073268	0,075371
171	0,073093	0,074584
172	0,073135	0,075293
173	0,073001	0,074448
174	0,073001	0,075106
175	0,072813	0,074306
176	0,072858	0,075017
177	0,072713	0,074159
178	0,072711	0,074813
179	0,072510	0,074003
180	0,072554	0,074711
181	0,072397	0,073842
182	0,072392	0,074489
183	0,072178	0,073671
184	0,072218	0,074370
185	0,072050	0,072576
186	0,071077	0,073124
187	0,070909	0,072402
188	0,070891	0,072975
189	0,070758	0,072288
190	0,070777	0,072910
191	0,070677	0,072177
192	0,070667	0,072767
193	0,070529	0,072067
194	0,070559	0,072710
195	0,070455	0,071960
196	0,070454	0,072568
197	0,070306	0,071853
198	0,070348	0,072516
199	0,070238	0,071748
200	0,070245	0,072369
