sep=,
Epoch,Training Error,Validation Error
1,1.119007,1.034640
2,1.118838,0.421546
3,0.403425,0.762867
4,0.839689,0.384634
5,0.368810,0.621770
6,0.688136,0.299310
7,0.285721,0.454823
8,0.504129,0.322132
9,0.308650,0.396725
10,0.440618,0.273080
11,0.262545,0.323770
12,0.359508,0.258765
13,0.250124,0.280232
14,0.310930,0.238832
15,0.232589,0.242661
16,0.268039,0.229157
17,0.225819,0.223370
18,0.243774,0.224335
19,0.224214,0.213266
20,0.227755,0.216467
21,0.218493,0.195585
22,0.204828,0.198973
23,0.201547,0.178930
24,0.185886,0.177851
25,0.180265,0.163935
26,0.169893,0.161172
27,0.163179,0.149520
28,0.155579,0.153368
29,0.154036,0.140477
30,0.149328,0.173972
31,0.170952,0.183267
32,0.199695,0.278973
33,0.267315,0.299059
34,0.310752,0.229038
35,0.217778,0.185535
36,0.194842,0.190715
37,0.182874,0.170431
38,0.179406,0.165518
39,0.159476,0.137123
40,0.143986,0.146380
41,0.142047,0.122140
42,0.126878,0.142508
43,0.140182,0.133512
44,0.136626,0.162135
45,0.164045,0.180159
46,0.182268,0.180031
47,0.187361,0.195603
48,0.196854,0.148460
49,0.156787,0.166270
50,0.165951,0.123048
51,0.130917,0.139718
52,0.138243,0.110046
53,0.117121,0.121019
54,0.118958,0.101044
55,0.107004,0.107103
56,0.105017,0.093238
57,0.098092,0.097495
58,0.095621,0.087797
59,0.091889,0.091478
60,0.089834,0.084028
61,0.087601,0.087548
62,0.086087,0.081459
63,0.084701,0.084974
64,0.083632,0.079760
65,0.082810,0.083392
66,0.082104,0.078764
67,0.081732,0.082638
68,0.081342,0.078412
69,0.081393,0.082660
70,0.081297,0.074563
71,0.077026,0.077922
72,0.076805,0.074617
73,0.077187,0.078571
74,0.077312,0.075194
75,0.077905,0.078918
76,0.077546,0.075136
77,0.077874,0.078790
78,0.077340,0.075025
79,0.077768,0.078541
80,0.077021,0.074822
81,0.077543,0.078159
82,0.076576,0.074514
83,0.077190,0.077647
84,0.076011,0.074098
85,0.076707,0.077024
86,0.075344,0.073590
87,0.076117,0.076324
88,0.074608,0.073013
89,0.075451,0.075581
90,0.073836,0.072400
91,0.074744,0.074831
92,0.073060,0.067830
93,0.069795,0.070140
94,0.068764,0.067634
95,0.069566,0.070410
96,0.068900,0.068125
97,0.070054,0.071068
98,0.069387,0.069065
99,0.070996,0.072177
100,0.070285,0.070521
101,0.072453,0.073748
102,0.071608,0.072483
103,0.074414,0.075672
104,0.073263,0.074765
105,0.076684,0.077600
106,0.074936,0.076852
107,0.078749,0.079018
108,0.076162,0.078106
109,0.079971,0.079409
110,0.076469,0.077983
111,0.079811,0.078526
112,0.075631,0.076410
113,0.078198,0.076543
114,0.073803,0.073808
115,0.075550,0.073887
116,0.071373,0.065018
117,0.066594,0.066082
118,0.064381,0.063415
119,0.064905,0.065062
120,0.063409,0.062600
121,0.064038,0.064383
122,0.062735,0.062124
123,0.063521,0.064035
124,0.062352,0.061981
125,0.063349,0.064013
126,0.062257,0.062168
127,0.063521,0.064307
128,0.062447,0.062682
129,0.064031,0.064889
130,0.062899,0.063489
131,0.064843,0.065680
132,0.063545,0.064485
133,0.065847,0.066553
134,0.064274,0.065503
135,0.066873,0.067303
136,0.064901,0.066295
137,0.067666,0.067723
138,0.065237,0.066628
139,0.067993,0.067655
140,0.065135,0.060568
141,0.061810,0.062033
142,0.060048,0.060621
143,0.061837,0.062556
144,0.060459,0.061295
145,0.062511,0.063119
146,0.060915,0.061959
147,0.063174,0.063571
148,0.061279,0.062433
149,0.063642,0.063771
150,0.061421,0.062560
151,0.063759,0.063606
152,0.061239,0.062237
153,0.063420,0.063026
154,0.060686,0.061443
155,0.062604,0.062060
156,0.059787,0.060249
157,0.061384,0.060792
158,0.058619,0.058787
159,0.059889,0.059348
160,0.057296,0.057212
161,0.058274,0.057851
162,0.055927,0.055644
163,0.056662,0.056376
164,0.054580,0.050909
165,0.051768,0.051976
166,0.050667,0.050162
167,0.050975,0.051518
168,0.050214,0.049784
169,0.050575,0.051175
170,0.049864,0.049506
171,0.050281,0.050924
172,0.049598,0.049310
173,0.050073,0.050746
174,0.049398,0.049176
175,0.049932,0.050618
176,0.049246,0.049083
177,0.049831,0.050512
178,0.049115,0.049002
179,0.049744,0.050403
180,0.048985,0.048907
181,0.049641,0.050265
182,0.048830,0.048771
183,0.049495,0.050070
184,0.048626,0.048566
185,0.049278,0.049794
186,0.048352,0.048269
187,0.048967,0.049420
188,0.047992,0.045473
189,0.046061,0.046576
190,0.045455,0.045259
191,0.045826,0.046544
192,0.045387,0.045242
193,0.045803,0.046510
194,0.045321,0.045216
195,0.045768,0.046451
196,0.045235,0.045154
197,0.045696,0.046341
198,0.045105,0.045031
199,0.045561,0.046157
200,0.044912,0.044826
201,0.045340,0.045883
202,0.044639,0.044525
203,0.045021,0.045510
204,0.044279,0.044125
205,0.044598,0.045040
206,0.043833,0.043633
207,0.044079,0.044485
208,0.043311,0.043063
209,0.043479,0.043860
210,0.042727,0.042437
211,0.042818,0.043187
212,0.042099,0.040362
213,0.040625,0.041050
214,0.040195,0.039956
215,0.040181,0.040717
216,0.039860,0.039725
217,0.039927,0.040574
218,0.039691,0.039576
219,0.039762,0.040414
220,0.039508,0.039407
221,0.039575,0.040227
222,0.039301,0.039209
223,0.039359,0.040002
224,0.039064,0.038975
225,0.039104,0.039735
226,0.038791,0.038702
227,0.038808,0.039423
228,0.038480,0.038387
229,0.038467,0.039067
230,0.038129,0.038121
231,0.038178,0.038871
232,0.037919,0.037909
233,0.037948,0.038626
234,0.037665,0.037651
235,0.037668,0.038329
236,0.037368,0.037347
237,0.037340,0.037981
238,0.037026,0.037079
239,0.037048,0.037770
240,0.036803,0.036851
241,0.036801,0.037505
242,0.036535,0.035940
243,0.035811,0.036532
244,0.035654,0.035815
245,0.035675,0.036470
246,0.035557,0.035726
247,0.035576,0.036379
248,0.035438,0.035610
249,0.035449,0.036251
250,0.035288,0.035458
251,0.035283,0.036076
252,0.035098,0.035327
253,0.035138,0.036002
254,0.034996,0.035222
255,0.035022,0.035876
256,0.034851,0.035070
257,0.034855,0.035693
258,0.034656,0.034867
259,0.034633,0.035450
260,0.034411,0.034676
261,0.034424,0.035300
262,0.034246,0.034503
263,0.034233,0.035089
264,0.034029,0.034339
265,0.034053,0.034968
266,0.033890,0.034189
267,0.033888,0.034784
268,0.033697,0.034047
269,0.033732,0.034687
270,0.033580,0.033919
271,0.033590,0.034524
272,0.033406,0.033147
273,0.032745,0.033617
274,0.032591,0.032979
275,0.032558,0.033473
276,0.032433,0.032859
277,0.032426,0.033390
278,0.032325,0.032792
279,0.032351,0.033374
280,0.032277,0.032741
281,0.032294,0.033319
282,0.032195,0.032654
283,0.032196,0.033212
284,0.032071,0.032521
285,0.032049,0.033049
286,0.031899,0.032390
287,0.031903,0.032950
288,0.031782,0.032263
289,0.031763,0.032792
290,0.031615,0.032136
291,0.031622,0.032696
292,0.031501,0.032011
293,0.031484,0.032539
294,0.031336,0.031885
295,0.031343,0.032442
296,0.031223,0.031760
297,0.031204,0.032283
298,0.031056,0.031631
299,0.031061,0.032183
300,0.030941,0.031503
301,0.030918,0.032019
302,0.030771,0.031370
303,0.030771,0.031912
304,0.030650,0.031238
305,0.030623,0.031742
306,0.030476,0.031100
307,0.030469,0.031628
308,0.030349,0.031008
309,0.030367,0.031569
310,0.030269,0.030916
311,0.030262,0.031444
312,0.030135,0.030816
313,0.030151,0.031374
314,0.030047,0.030713
315,0.030035,0.031236
316,0.029900,0.030602
317,0.029910,0.031150
318,0.029800,0.030032
319,0.029278,0.030451
320,0.029174,0.029915
321,0.029147,0.030350
322,0.029060,0.029828
323,0.029049,0.030286
324,0.028976,0.029771
325,0.028984,0.030262
326,0.028927,0.029714
327,0.028919,0.030191
328,0.028840,0.029653
329,0.028851,0.030161
330,0.028787,0.029590
331,0.028779,0.030077
332,0.028689,0.029519
333,0.028699,0.030034
334,0.028626,0.029444
335,0.028613,0.029931
336,0.028513,0.029358
337,0.028517,0.029868
338,0.028434,0.029266
339,0.028413,0.029743
340,0.028303,0.029162
341,0.028296,0.029656
342,0.028204,0.029090
343,0.028215,0.029608
344,0.028139,0.029010
345,0.028124,0.029496
346,0.028019,0.028918
347,0.028019,0.029422
348,0.027932,0.028856
349,0.027949,0.029385
350,0.027877,0.028785
351,0.027868,0.029282
352,0.027766,0.028700
353,0.027772,0.029216
354,0.027687,0.028604
355,0.027663,0.029083
356,0.027550,0.028495
357,0.027540,0.028987
358,0.027445,0.028416
359,0.027450,0.028926
360,0.027371,0.028325
361,0.027347,0.028799
362,0.027240,0.028222
363,0.027229,0.028708
364,0.027140,0.028146
365,0.027143,0.028649
366,0.027068,0.028059
367,0.027043,0.028527
368,0.026941,0.027958
369,0.026929,0.028437
370,0.026843,0.027884
371,0.026843,0.028379
372,0.026771,0.027497
373,0.026403,0.027917
374,0.026357,0.027460
375,0.026359,0.027904
376,0.026323,0.027417
377,0.026309,0.027848
378,0.026253,0.027366
379,0.026250,0.027815
380,0.026203,0.027335
381,0.026213,0.027809
382,0.026176,0.027295
383,0.026167,0.027751
384,0.026106,0.027245
385,0.026108,0.027719
386,0.026057,0.027184
387,0.026037,0.027631
388,0.025962,0.027110
389,0.025951,0.027568
390,0.025888,0.027056
391,0.025888,0.027529
392,0.025834,0.027021
393,0.025846,0.027515
394,0.025802,0.026974
395,0.025791,0.027442
396,0.025721,0.026913
397,0.025720,0.027393
398,0.025660,0.026871
399,0.025670,0.027370
400,0.025620,0.026815
401,0.025605,0.027284
402,0.025528,0.026744
403,0.025522,0.027222
404,0.025457,0.026692
405,0.025461,0.027185
406,0.025406,0.026626
407,0.025384,0.027085
408,0.025302,0.026545
409,0.025289,0.027009
410,0.025219,0.026482
411,0.025216,0.026957
412,0.025156,0.026437
413,0.025163,0.026927
414,0.025112,0.026378
415,0.025093,0.026836
416,0.025017,0.026303
417,0.025006,0.026767
418,0.024940,0.026246
419,0.024939,0.026721
420,0.024882,0.026206
421,0.024890,0.026695
422,0.024843,0.025867
423,0.024496,0.026242
424,0.024444,0.025808
425,0.024425,0.026189
426,0.024380,0.025760
427,0.024367,0.026150
428,0.024328,0.025723
429,0.024322,0.026125
430,0.024288,0.025697
431,0.024290,0.026117
432,0.024262,0.025662
433,0.024248,0.026065
434,0.024201,0.025616
435,0.024192,0.026028
436,0.024152,0.025582
437,0.024150,0.026007
438,0.024116,0.025559
439,0.024122,0.026002
440,0.024094,0.025526
441,0.024082,0.025949
442,0.024032,0.025479
443,0.024026,0.025911
444,0.023983,0.025445
445,0.023984,0.025890
446,0.023947,0.025398
447,0.023927,0.025817
448,0.023869,0.025338
449,0.023855,0.025760
450,0.023805,0.025290
451,0.023797,0.025718
452,0.023753,0.025252
453,0.023751,0.025691
454,0.023714,0.025226
455,0.023719,0.025679
456,0.023687,0.025187
457,0.023671,0.025616
458,0.023617,0.025134
459,0.023607,0.025567
460,0.023560,0.025091
461,0.023555,0.025533
462,0.023515,0.025060
463,0.023517,0.025513
464,0.023482,0.025015
465,0.023462,0.025441
466,0.023406,0.024957
467,0.023391,0.025384
468,0.023342,0.024909
469,0.023333,0.025341
470,0.023290,0.024871
471,0.023287,0.025311
472,0.023250,0.024844
473,0.023252,0.025295
474,0.023221,0.024803
475,0.023202,0.025228
476,0.023149,0.024747
477,0.023135,0.025174
478,0.023088,0.024702
479,0.023080,0.025133
480,0.023039,0.024667
481,0.023036,0.025106
482,0.023001,0.024641
483,0.023003,0.025091
484,0.022973,0.024601
485,0.022954,0.025025
486,0.022903,0.024548
487,0.022889,0.024972
488,0.022844,0.024504
489,0.022835,0.024932
490,0.022796,0.024469
491,0.022791,0.024904
492,0.022757,0.024442
493,0.022758,0.024888
494,0.022729,0.024403
495,0.022709,0.024821
496,0.022659,0.024349
497,0.022643,0.024767
498,0.022600,0.024305
499,0.022588,0.024725
500,0.022550,0.024269
501,0.022543,0.024694
502,0.022510,0.024240
503,0.022508,0.024674
504,0.022479,0.024030
505,0.022250,0.024387
506,0.022230,0.024012
507,0.022227,0.024382
508,0.022210,0.024001
509,0.022212,0.024387
510,0.022199,0.023981
511,0.022187,0.024355
512,0.022158,0.023952
513,0.022150,0.024332
514,0.022125,0.023929
515,0.022121,0.024317
516,0.022099,0.023912
517,0.022098,0.024312
518,0.022080,0.023901
519,0.022084,0.024316
520,0.022069,0.023880
521,0.022057,0.024278
522,0.022024,0.023848
523,0.022016,0.024249
524,0.021987,0.023821
525,0.021983,0.024230
526,0.021957,0.023801
527,0.021957,0.024219
528,0.021935,0.023788
529,0.021939,0.024217
530,0.021920,0.023762
531,0.021906,0.024170
532,0.021869,0.023724
533,0.021858,0.024133
534,0.021825,0.023692
535,0.021818,0.024104
536,0.021789,0.023666
537,0.021785,0.024084
538,0.021759,0.023647
539,0.021760,0.024073
540,0.021738,0.023615
541,0.021719,0.024016
542,0.021678,0.023570
543,0.021663,0.023969
544,0.021627,0.023532
545,0.021615,0.023931
546,0.021583,0.023500
547,0.021575,0.023901
548,0.021546,0.023473
549,0.021541,0.023879
550,0.021516,0.023452
551,0.021513,0.023864
552,0.021492,0.023437
553,0.021493,0.023858
554,0.021474,0.023409
555,0.021458,0.023808
556,0.021421,0.023370
557,0.021408,0.023766
558,0.021375,0.023336
559,0.021365,0.023733
560,0.021336,0.023307
561,0.021328,0.023707
562,0.021303,0.023284
563,0.021298,0.023688
564,0.021276,0.023265
565,0.021274,0.023676
566,0.021255,0.023252
567,0.021256,0.023673
568,0.021240,0.023227
569,0.021224,0.023625
570,0.021190,0.023189
571,0.021177,0.023586
572,0.021147,0.023158
573,0.021136,0.023554
574,0.021109,0.023131
575,0.021102,0.023529
576,0.021078,0.023108
577,0.021073,0.023511
578,0.021052,0.023091
579,0.021050,0.023500
580,0.021032,0.023078
581,0.021033,0.023497
582,0.021018,0.022906
583,0.020814,0.023225
584,0.020789,0.022876
585,0.020775,0.023193
586,0.020753,0.022850
587,0.020740,0.023166
588,0.020720,0.022826
589,0.020709,0.023144
590,0.020691,0.022805
591,0.020682,0.023126
592,0.020666,0.022787
593,0.020659,0.023113
594,0.020644,0.022771
595,0.020639,0.023104
596,0.020626,0.022759
597,0.020623,0.023101
598,0.020612,0.022750
599,0.020611,0.023103
600,0.020602,0.022745
601,0.020605,0.023111
602,0.020598,0.022732
603,0.020588,0.023087
604,0.020568,0.022710
605,0.020561,0.023068
606,0.020543,0.022692
607,0.020537,0.023054
608,0.020521,0.022677
609,0.020517,0.023045
610,0.020504,0.022665
611,0.020502,0.023041
612,0.020490,0.022657
613,0.020492,0.023043
614,0.020482,0.022639
615,0.020469,0.023008
616,0.020445,0.022612
617,0.020434,0.022980
618,0.020412,0.022588
619,0.020403,0.022956
620,0.020383,0.022567
621,0.020376,0.022937
622,0.020359,0.022549
623,0.020354,0.022923
624,0.020338,0.022535
625,0.020335,0.022915
626,0.020322,0.022524
627,0.020321,0.022911
628,0.020309,0.022516
629,0.020311,0.022913
630,0.020301,0.022498
631,0.020288,0.022877
632,0.020263,0.022470
633,0.020252,0.022846
634,0.020230,0.022445
635,0.020220,0.022820
636,0.020200,0.022423
637,0.020193,0.022799
638,0.020175,0.022405
639,0.020169,0.022783
640,0.020153,0.022389
641,0.020149,0.022772
642,0.020135,0.022377
643,0.020133,0.022765
644,0.020121,0.022367
645,0.020121,0.022764
646,0.020111,0.022348
647,0.020096,0.022724
648,0.020071,0.022318
649,0.020058,0.022690
650,0.020035,0.022291
