Epoch	Training Error	Validation Error
1	0,299975	0,267881
2	0,253876	0,230007
3	0,215474	0,194643
4	0,185760	0,178213
5	0,166614	0,164444
6	0,157324	0,164645
7	0,151827	0,154840
8	0,149369	0,155370
9	0,142844	0,145624
10	0,140080	0,143771
11	0,132892	0,135849
12	0,129526	0,134351
13	0,124970	0,128992
14	0,122089	0,127687
15	0,119334	0,124348
16	0,117166	0,122971
17	0,115227	0,120734
18	0,113504	0,119302
19	0,111920	0,117601
20	0,110446	0,116214
21	0,109061	0,114790
22	0,107753	0,113504
23	0,106515	0,112252
24	0,105340	0,111078
25	0,104223	0,109954
26	0,103159	0,108888
27	0,102145	0,107868
28	0,101177	0,106896
29	0,100252	0,105966
30	0,099368	0,105077
31	0,098522	0,104226
32	0,097711	0,103410
33	0,096933	0,102628
34	0,096188	0,101878
35	0,095472	0,101158
36	0,094785	0,100466
37	0,094125	0,099800
38	0,093489	0,099160
39	0,092878	0,098543
40	0,092289	0,097949
41	0,091722	0,097377
42	0,091175	0,096825
43	0,090648	0,096292
44	0,090139	0,095778
45	0,089648	0,095281
46	0,089173	0,094801
47	0,088715	0,094336
48	0,088271	0,093887
49	0,087842	0,093452
50	0,087427	0,093030
51	0,087025	0,092622
52	0,086636	0,092226
53	0,086258	0,091841
54	0,085892	0,091468
55	0,085537	0,091106
56	0,085192	0,090754
57	0,084857	0,090412
58	0,084531	0,090079
59	0,084214	0,089756
60	0,083906	0,089440
61	0,083607	0,089133
62	0,083315	0,088834
63	0,083030	0,088542
64	0,082753	0,088258
65	0,082483	0,087980
66	0,082220	0,087709
67	0,081962	0,087445
68	0,081711	0,087186
69	0,081466	0,086933
70	0,081226	0,086686
71	0,080992	0,086444
72	0,080762	0,086208
73	0,080538	0,085976
74	0,080319	0,085749
75	0,080103	0,085527
76	0,079893	0,085309
77	0,079686	0,085095
78	0,079484	0,084886
79	0,079285	0,084680
80	0,079091	0,084478
81	0,078899	0,084280
82	0,078712	0,084085
83	0,078528	0,083894
84	0,078346	0,083706
85	0,078168	0,083521
86	0,077993	0,083339
87	0,077821	0,083160
88	0,077652	0,082984
89	0,077485	0,082811
90	0,077322	0,082641
91	0,077160	0,082473
92	0,077001	0,082308
93	0,076845	0,082146
94	0,076691	0,081985
95	0,076539	0,081827
96	0,076389	0,081671
97	0,076242	0,081517
98	0,076096	0,081365
99	0,075953	0,081216
100	0,075811	0,081068
101	0,075671	0,080922
102	0,075534	0,080778
103	0,075398	0,080636
104	0,075263	0,080496
105	0,075131	0,080357
106	0,075000	0,080220
107	0,074871	0,080085
108	0,074743	0,079951
109	0,074617	0,079819
110	0,074492	0,079689
111	0,074369	0,079560
112	0,074247	0,079432
113	0,074126	0,079306
114	0,074007	0,079181
115	0,073889	0,079058
116	0,073772	0,078936
117	0,073657	0,078815
118	0,073543	0,078696
119	0,073430	0,078577
120	0,073318	0,078460
121	0,073207	0,078345
122	0,073098	0,078230
123	0,072989	0,078116
124	0,072882	0,078004
125	0,072776	0,077892
126	0,072670	0,077782
127	0,072566	0,077673
128	0,072462	0,077564
129	0,072360	0,077457
130	0,072258	0,077350
131	0,072158	0,077245
132	0,072058	0,077140
133	0,071959	0,077037
134	0,071861	0,076934
135	0,071763	0,076832
136	0,071667	0,076731
137	0,071571	0,076631
138	0,071476	0,076531
139	0,071382	0,076432
140	0,071289	0,076335
141	0,071196	0,076237
142	0,071104	0,076141
143	0,071013	0,076045
144	0,070922	0,075950
145	0,070832	0,075856
146	0,070743	0,075762
147	0,070654	0,075669
148	0,070566	0,075577
149	0,070478	0,075485
150	0,070392	0,075394
151	0,070305	0,075304
152	0,070220	0,075214
153	0,070135	0,075125
154	0,070050	0,075036
155	0,069966	0,074948
156	0,069883	0,074860
157	0,069800	0,074773
158	0,069717	0,074687
159	0,069636	0,074600
160	0,069554	0,074515
161	0,069473	0,074429
162	0,069393	0,074345
163	0,069313	0,074260
164	0,069234	0,074177
165	0,069155	0,074093
166	0,069076	0,074010
167	0,068998	0,073928
168	0,068921	0,073846
169	0,068844	0,073764
170	0,068767	0,073683
171	0,068691	0,073602
172	0,068615	0,073522
173	0,068539	0,073442
174	0,068464	0,073362
175	0,068389	0,073282
176	0,068315	0,073203
177	0,068241	0,073125
178	0,068167	0,073046
179	0,068094	0,072968
180	0,068021	0,072890
181	0,067948	0,072813
182	0,067876	0,072736
183	0,067804	0,072659
184	0,067733	0,072583
185	0,067661	0,072507
186	0,067591	0,072431
187	0,067520	0,072356
188	0,067450	0,072281
189	0,067380	0,072206
190	0,067311	0,072131
191	0,067242	0,072057
192	0,067173	0,071983
193	0,067104	0,071909
194	0,067036	0,071835
195	0,066968	0,071762
196	0,066901	0,071689
197	0,066833	0,071616
198	0,066766	0,071543
199	0,066700	0,071471
200	0,066633	0,071399
