Epoch	Training Error	Validation Error
1	0,579779	0,548375
2	0,542579	0,518820
3	0,509196	0,495670
4	0,483020	0,477116
5	0,462775	0,458639
6	0,443253	0,438193
7	0,422107	0,414498
8	0,397941	0,386173
9	0,369316	0,351347
10	0,334357	0,307524
11	0,290617	0,253259
12	0,236923	0,203194
13	0,188365	0,172445
14	0,161176	0,155969
15	0,146503	0,148681
16	0,138272	0,141745
17	0,132404	0,137693
18	0,127808	0,133035
19	0,124071	0,130151
20	0,120930	0,126850
21	0,118234	0,124540
22	0,115881	0,122106
23	0,113797	0,120168
24	0,111927	0,118269
25	0,110233	0,116618
26	0,108685	0,115060
27	0,107263	0,113645
28	0,105948	0,112324
29	0,104730	0,111101
30	0,103597	0,109960
31	0,102540	0,108893
32	0,101551	0,107893
33	0,100623	0,106954
34	0,099751	0,106070
35	0,098930	0,105236
36	0,098155	0,104448
37	0,097424	0,103702
38	0,096732	0,102995
39	0,096076	0,102324
40	0,095454	0,101686
41	0,094863	0,101078
42	0,094300	0,100499
43	0,093764	0,099946
44	0,093253	0,099418
45	0,092764	0,098912
46	0,092297	0,098428
47	0,091850	0,097964
48	0,091422	0,097519
49	0,091010	0,097091
50	0,090615	0,096680
51	0,090236	0,096284
52	0,089871	0,095903
53	0,089519	0,095536
54	0,089181	0,095182
55	0,088854	0,094840
56	0,088538	0,094510
57	0,088234	0,094191
58	0,087939	0,093882
59	0,087654	0,093583
60	0,087379	0,093294
61	0,087112	0,093013
62	0,086853	0,092741
63	0,086602	0,092477
64	0,086358	0,092221
65	0,086122	0,091972
66	0,085892	0,091730
67	0,085669	0,091495
68	0,085452	0,091266
69	0,085240	0,091044
70	0,085034	0,090827
71	0,084834	0,090615
72	0,084638	0,090409
73	0,084447	0,090208
74	0,084261	0,090011
75	0,084079	0,089820
76	0,083902	0,089633
77	0,083728	0,089450
78	0,083558	0,089271
79	0,083392	0,089096
80	0,083229	0,088924
81	0,083070	0,088757
82	0,082914	0,088593
83	0,082761	0,088432
84	0,082611	0,088274
85	0,082463	0,088120
86	0,082319	0,087968
87	0,082177	0,087820
88	0,082038	0,087674
89	0,081901	0,087530
90	0,081767	0,087390
91	0,081635	0,087251
92	0,081505	0,087115
93	0,081377	0,086981
94	0,081252	0,086850
95	0,081128	0,086720
96	0,081007	0,086593
97	0,080887	0,086468
98	0,080769	0,086344
99	0,080653	0,086223
100	0,080538	0,086103
101	0,080425	0,085985
102	0,080314	0,085869
103	0,080204	0,085754
104	0,080096	0,085641
105	0,079989	0,085530
106	0,079884	0,085420
107	0,079780	0,085311
108	0,079678	0,085204
109	0,079576	0,085098
110	0,079476	0,084994
111	0,079377	0,084891
112	0,079280	0,084789
113	0,079183	0,084689
114	0,079088	0,084589
115	0,078993	0,084491
116	0,078900	0,084394
117	0,078808	0,084298
118	0,078717	0,084203
119	0,078626	0,084109
120	0,078537	0,084016
121	0,078449	0,083925
122	0,078361	0,083834
123	0,078275	0,083744
124	0,078189	0,083655
125	0,078104	0,083567
126	0,078020	0,083480
127	0,077937	0,083394
128	0,077855	0,083308
129	0,077773	0,083224
130	0,077693	0,083140
131	0,077612	0,083057
132	0,077533	0,082975
133	0,077454	0,082893
134	0,077377	0,082813
135	0,077299	0,082733
136	0,077223	0,082653
137	0,077147	0,082575
138	0,077072	0,082497
139	0,076997	0,082420
140	0,076923	0,082343
141	0,076850	0,082267
142	0,076777	0,082192
143	0,076705	0,082117
144	0,076633	0,082043
145	0,076562	0,081969
146	0,076492	0,081896
147	0,076422	0,081823
148	0,076353	0,081752
149	0,076284	0,081680
150	0,076216	0,081609
151	0,076148	0,081539
152	0,076081	0,081469
153	0,076014	0,081400
154	0,075947	0,081331
155	0,075882	0,081263
156	0,075816	0,081195
157	0,075751	0,081128
158	0,075687	0,081061
159	0,075623	0,080994
160	0,075559	0,080928
161	0,075496	0,080862
162	0,075434	0,080797
163	0,075371	0,080732
164	0,075309	0,080668
165	0,075248	0,080604
166	0,075187	0,080541
167	0,075126	0,080477
168	0,075066	0,080415
169	0,075005	0,080352
170	0,074946	0,080290
171	0,074887	0,080229
172	0,074828	0,080167
173	0,074769	0,080107
174	0,074711	0,080046
175	0,074653	0,079986
176	0,074595	0,079926
177	0,074538	0,079867
178	0,074481	0,079807
179	0,074424	0,079749
180	0,074367	0,079690
181	0,074311	0,079632
182	0,074255	0,079574
183	0,074199	0,079517
184	0,074144	0,079460
185	0,074089	0,079403
186	0,074034	0,079346
187	0,073979	0,079290
188	0,073925	0,079234
189	0,073871	0,079178
190	0,073817	0,079123
191	0,073763	0,079067
192	0,073710	0,079012
193	0,073656	0,078958
194	0,073603	0,078903
195	0,073550	0,078849
196	0,073497	0,078795
197	0,073445	0,078742
198	0,073392	0,078688
199	0,073340	0,078635
200	0,073288	0,078582
