sep=,
Epoch,Training Error,Validation Error
1,0.589753,1.098053
2,1.066077,0.862475
3,0.906967,0.724454
4,0.703998,0.579914
5,0.620976,0.454410
6,0.443380,0.484999
7,0.527857,0.312790
8,0.307217,0.382674
9,0.420425,0.265849
10,0.264739,0.336746
11,0.372853,0.243891
12,0.245640,0.300467
13,0.331273,0.251015
14,0.253494,0.263001
15,0.288278,0.237669
16,0.239954,0.237263
17,0.259906,0.220570
18,0.222239,0.221242
19,0.242541,0.207895
20,0.208784,0.208526
21,0.228753,0.199633
22,0.199657,0.198359
23,0.217568,0.195419
24,0.194309,0.192876
25,0.210583,0.195138
26,0.192509,0.164739
27,0.176475,0.187664
28,0.183202,0.188760
29,0.199256,0.192965
30,0.186803,0.183241
31,0.189043,0.189253
32,0.184156,0.188545
33,0.188927,0.192263
34,0.193523,0.216911
35,0.215935,0.209575
36,0.222070,0.259493
37,0.261641,0.203906
38,0.220490,0.208740
39,0.210127,0.181107
40,0.194725,0.186703
41,0.187371,0.160622
42,0.172396,0.166777
43,0.166748,0.143224
44,0.153895,0.151587
45,0.151024,0.130011
46,0.140333,0.143032
47,0.142039,0.124845
48,0.135571,0.143331
49,0.141500,0.132266
50,0.142793,0.155923
51,0.152339,0.133884
52,0.139874,0.128635
53,0.125501,0.130819
54,0.134230,0.142499
55,0.138485,0.133802
56,0.135821,0.133431
57,0.130424,0.117637
58,0.119017,0.116680
59,0.115297,0.104712
60,0.105645,0.105727
61,0.105764,0.099332
62,0.099788,0.101270
63,0.102800,0.100662
64,0.100725,0.103183
65,0.106675,0.110719
66,0.110621,0.110727
67,0.116747,0.125585
68,0.125655,0.114975
69,0.122906,0.131076
70,0.131181,0.111259
71,0.119541,0.124495
72,0.124288,0.103206
73,0.110630,0.099239
74,0.098348,0.087901
75,0.092659,0.094328
76,0.093268,0.085393
77,0.089702,0.091021
78,0.089817,0.083119
79,0.086964,0.087940
80,0.086670,0.080940
81,0.084339,0.085545
82,0.084247,0.079523
83,0.082646,0.084094
84,0.082767,0.078635
85,0.081607,0.082868
86,0.081527,0.077493
87,0.080285,0.081800
88,0.080450,0.076798
89,0.079512,0.080913
90,0.079556,0.075884
91,0.078484,0.079778
92,0.078431,0.074818
93,0.077273,0.078859
94,0.077507,0.074219
95,0.076620,0.078173
96,0.076806,0.073493
97,0.075810,0.077312
98,0.075938,0.072664
99,0.074866,0.076313
100,0.074934,0.071763
101,0.073826,0.075222
102,0.073838,0.070826
103,0.072732,0.074076
104,0.072684,0.069876
105,0.071614,0.073182
106,0.071764,0.069311
107,0.070966,0.069997
108,0.068711,0.067049
109,0.068174,0.069679
110,0.068308,0.066819
111,0.067939,0.069581
112,0.068115,0.066604
113,0.067722,0.069473
114,0.067923,0.066380
115,0.067494,0.069326
116,0.067702,0.066126
117,0.067228,0.069109
118,0.067423,0.065822
119,0.066899,0.068800
120,0.067064,0.065453
121,0.066488,0.068385
122,0.066609,0.065013
