sep=,
Epoch,Training Error,Validation Error
1,0.382652,0.343433
2,0.328088,0.293437
3,0.283920,0.267160
4,0.258729,0.250724
5,0.240299,0.235867
6,0.224619,0.222933
7,0.212711,0.212517
8,0.202891,0.202988
9,0.194160,0.194192
10,0.186069,0.185692
11,0.178354,0.177391
12,0.170831,0.169140
13,0.163363,0.160852
14,0.155850,0.152680
15,0.148430,0.145477
16,0.141822,0.139662
17,0.136350,0.134781
18,0.131806,0.130702
19,0.127956,0.127191
20,0.124642,0.124146
21,0.121760,0.121472
22,0.119229,0.119104
23,0.116992,0.116988
24,0.114994,0.115081
25,0.113195,0.113350
26,0.111563,0.111769
27,0.110076,0.110319
28,0.108713,0.108982
29,0.107458,0.107745
30,0.106298,0.106595
31,0.105220,0.105522
32,0.104215,0.104517
33,0.103274,0.103573
34,0.102392,0.102684
35,0.101560,0.101844
36,0.100774,0.101049
37,0.100030,0.100293
38,0.099323,0.099574
39,0.098650,0.098888
40,0.098008,0.098232
41,0.097395,0.097604
42,0.096808,0.097001
43,0.096244,0.096422
44,0.095703,0.095863
45,0.095182,0.095324
46,0.094680,0.094804
47,0.094195,0.094300
48,0.093727,0.093811
49,0.093273,0.093338
50,0.092834,0.092877
51,0.092407,0.092429
52,0.091992,0.091993
53,0.091589,0.091568
54,0.091196,0.091152
55,0.090812,0.090746
56,0.090438,0.090349
57,0.090072,0.089960
58,0.089714,0.089580
59,0.089364,0.089206
60,0.089021,0.088840
61,0.088684,0.088480
62,0.088354,0.088127
63,0.088029,0.087780
64,0.087711,0.087438
65,0.087397,0.087102
66,0.087089,0.086771
67,0.086785,0.086445
68,0.086486,0.086124
69,0.086191,0.085807
70,0.085900,0.085496
71,0.085613,0.085189
72,0.085331,0.084886
73,0.085052,0.084587
74,0.084777,0.084293
75,0.084506,0.084002
76,0.084238,0.083715
77,0.083973,0.083431
78,0.083712,0.083151
79,0.083454,0.082874
80,0.083198,0.082600
81,0.082946,0.082330
82,0.082697,0.082062
83,0.082450,0.081798
84,0.082206,0.081536
85,0.081965,0.081277
86,0.081726,0.081021
87,0.081489,0.080767
88,0.081255,0.080515
89,0.081023,0.080266
90,0.080793,0.080019
91,0.080565,0.079774
92,0.080340,0.079531
93,0.080116,0.079290
94,0.079894,0.079052
95,0.079674,0.078815
96,0.079456,0.078579
97,0.079239,0.078346
98,0.079024,0.078114
99,0.078811,0.077884
100,0.078598,0.077656
101,0.078388,0.077430
102,0.078179,0.077205
103,0.077972,0.076981
104,0.077766,0.076759
105,0.077562,0.076539
106,0.077359,0.076319
107,0.077158,0.076102
108,0.076959,0.075886
